controle;categoria;tipo;calibre;marca;quantidade;origem
49612751-2018;1;pistola;indeterminado;indeterminado;1;1
49686151-2018;1;pistola;.380;não identificada;1;1
50653191-2018;1;revólver;32;indeterminado;1;2
51292091-2018;1;pistola;9 mm;taurus;1;2
55482721-2018;1;pistola;9 mm luger (9x19mm);taurus;1;1
55482721-2018;1;fuzil;.223 remington (5,56x45 mm);colt;1;1
57184161-2018;1;fuzil;7,62 mm kalashnikov (7,62x39);century;1;1
59332431-2018;1;revólver;.38 spl;taurus;1;1
65387251-2018;1;revólver;38 spl;indeterminado;1;1
65648691-2018;1;fuzil;7,62 mm kalashnikov (7,62x39);zastava;1;1
70034301-2018;1;revólver;38 spl;taurus;1;1
75069071-2018;1;revólver;.22;rossi;1;2
78180861-2018;1;pistola;9 mm luger (9x19mm);indeterminado;1;1
90946331-2018;1;revólver;38 spl curto;não identificada;1;1
90946331-2018;1;pistola;9 mm;não identificada;1;1
97572661-2018;1;revólver;.38 special (9 x 29,5 mm);rossi;1;2
04919171-2018;1;pistola;9 mm luger (9x19mm);taurus;1;2
09049241-2018;1;revólver;38 spl;taurus;1;2
09049241-2018;1;pistola;6,35 mm;beretta;1;1
09459211-2018;1;pistola;9 mm luger (9x19mm);fn;1;1
10446891-2018;1;revólver;.38;taurus;1;2
18007031-2018;1;pistola;.380 auto (9x17 mm);taurus;1;2
19691191-2018;1;espingarda;28;cbc;1;2
